Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Nigeria,NGA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2455.91855879433
Nigeria,NGA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.09999990463257
Nigeria,NGA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,9.54367007038431
Japan,JPN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6047894004051.61
Japan,JPN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,47623.2709305964
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.09999990463257
Japan,JPN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.267867384755462
Russian Federation,RUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1654433869549.9
Russian Federation,RUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,11279.6253410461
Russian Federation,RUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Russian Federation,RUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.6103493778149
Panama,PAN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,44304199791.0644
Panama,PAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10982.3730512324
Panama,PAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.40000009536743
Panama,PAN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.9333116355632
Tunisia,TUN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,48639094592.7065
Tunisia,TUN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4265.37198811308
Tunisia,TUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15.5
Tunisia,TUN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.49219760058901
"Egypt, Arab Rep.",EGY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,260693936973.86
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2724.39680691031
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.3999996185303
"Egypt, Arab Rep.",EGY,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.25238317807792
Saudi Arabia,SAU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,690549935520
Saudi Arabia,SAU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,21395.3597802581
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.59999990463257
Saudi Arabia,SAU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-2.51384468385538
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/01/2018,,,,
